emp_no,last_name,gender,salary,to_date
10198,Furedi,M,44076,9999-01-01
10001,Facello,M,60117,9999-01-01
10004,Koblick,M,40054,9999-01-01
10009,Peac,F,60929,9999-01-01
10018,Peha,F,55881,9999-01-01
10035,Chappelet,M,41538,9999-01-01
10053,Zschoche,F,67854,9999-01-01
10058,McFarlin,M,52787,9999-01-01
10066,Schusler,M,69736,9999-01-01
10067,Stavenow,M,44642,9999-01-01
10070,Garigliano,M,55999,9999-01-01
10072,Sidou,F,40000,9999-01-01
10076,Ritzmann,F,47319,9999-01-01
10088,Syrzycki,F,65957,9999-01-01
10100,Haraldson,F,54398,9999-01-01
10103,Birch,M,68158,9999-01-01
10126,Valtorta,M,40000,9999-01-01
10129,Peir,M,40000,9999-01-01
10130,Casperson,M,40000,9999-01-01
10134,Siprelle,M,40000,9999-01-01
10138,Shimshoni,M,53574,9999-01-01
10150,Perng,F,70122,9999-01-01
10153,Majewski,M,54246,9999-01-01
10157,Aloisi,M,48770,9999-01-01
10215,Duclos,M,43944,9999-01-01
10224,Trogemann,M,40000,9999-01-01
10233,Vendrig,F,40000,9999-01-01
10258,Ishibashi,F,66280,9999-01-01
10272,Cannane,M,58070,9999-01-01
10282,Benzmuller,M,40000,9999-01-01
10372,Frijda,F,54505,9999-01-01
10283,Birjandi,M,40000,9999-01-01
10326,Czap,F,40000,9999-01-01
10387,Wrigley,F,61374,9999-01-01
10340,Laventhal,M,68132,9999-01-01
10347,Kaminger,M,42199,9999-01-01
10396,Rahier,M,40393,9999-01-01
10355,Cochrane,M,70434,9999-01-01
10356,Standera,M,45376,9999-01-01
10364,Dengi,M,51401,9999-01-01
10564,Thisen,M,46660,9999-01-01
10402,Ebeling,M,40000,9999-01-01
10404,Rosti,F,51647,9999-01-01
10623,Danlos,F,60268,9999-01-01
10628,Krogh,M,41650,9999-01-01
10631,Chaudhuri,M,40000,9999-01-01
10426,Luce,F,65757,9999-01-01
10642,Narlikar,M,40000,9999-01-01
10653,Feinberg,M,40000,9999-01-01
10429,Improta,F,40000,9999-01-01
10432,Tiemann,F,40000,9999-01-01
10671,Rebaine,M,74037,9999-01-01
10676,Danley,F,58226,9999-01-01
10693,Daescu,F,40000,9999-01-01
10702,Szemeredi,M,46581,9999-01-01
10718,Rullman,M,75473,9999-01-01
10451,Ranta,F,46275,9999-01-01
10453,Matzel,F,40000,9999-01-01
10726,Minakawa,F,46315,9999-01-01
10734,Erdi,M,47377,9999-01-01
10745,Ranze,F,40000,9999-01-01
10463,Zaiane,M,66480,9999-01-01
10749,Brendel,M,60829,9999-01-01
10767,Doering,F,40651,9999-01-01
10768,Candan,M,65717,9999-01-01
10778,Merey,M,64996,9999-01-01
10791,Sgarro,M,40000,9999-01-01
10795,Naudin,M,84206,9999-01-01
10808,Leijenhorst,M,40000,9999-01-01
10486,Kossowski,F,71692,9999-01-01
10835,Kermarrec,M,40000,9999-01-01
10494,Servieres,F,50094,9999-01-01
10504,Varker,M,43931,9999-01-01
10836,Leivant,F,65502,9999-01-01
10844,Koprowski,M,40000,9999-01-01
10847,Danley,M,40000,9999-01-01
10848,Bratsberg,F,50475,9999-01-01
10878,Deville,M,72102,9999-01-01
10512,Gihr,M,40000,9999-01-01
10522,Cesareni,F,40000,9999-01-01
10879,Chleq,F,65651,9999-01-01
10883,Champarnaud,M,40000,9999-01-01
10909,Atchley,M,80935,9999-01-01
10921,Bahi,F,72601,9999-01-01
10924,Atchley,F,84783,9999-01-01
10927,Scallan,M,51819,9999-01-01
10936,Schicker,F,40000,9999-01-01
10943,Skafidas,M,45890,9999-01-01
10965,Braunschweig,M,61654,9999-01-01
10548,Gunderson,M,90631,9999-01-01
10969,Noriega,M,40000,9999-01-01
10974,Papsdorf,M,56005,9999-01-01
10986,Schiper,M,43900,9999-01-01
10988,Deyuan,M,54174,9999-01-01
10989,Candan,F,46406,9999-01-01
10990,Foote,M,40000,9999-01-01
11009,Axelband,F,75111,9999-01-01
11112,Mukaidono,M,40000,9999-01-01
11113,Peng,F,66401,9999-01-01
11012,Speckmann,F,72092,9999-01-01
11019,Huttel,M,69387,9999-01-01
11121,Kakkad,F,40000,9999-01-01
11021,Henders,F,62670,9999-01-01
11027,Cappello,M,40000,9999-01-01
11031,Walstra,M,71654,9999-01-01
11037,Maliniak,M,40000,9999-01-01
11133,Azulay,M,40000,9999-01-01
11038,Beidas,M,44993,9999-01-01
